Admission_grade,Previous_qualification_grade,Age_at_enrollment,Gender,Debtor,Scholarship_holder,Tuition_fees_up_to_date,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,AppMode_1,AppMode_2,AppMode_5,AppMode_7,AppMode_10,AppMode_15,AppMode_16,AppMode_17,AppMode_18,AppMode_26,AppMode_27,AppMode_39,AppMode_42,AppMode_43,AppMode_44,AppMode_51,AppMode_53,AppMode_57,Status_num
121.3,139.0,19,0,0,1,1,8,6,11.833333333333334,8,6,11.833333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121.8,127.0,20,0,0,1,1,6,4,14.0,6,3,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
159.3,167.0,19,0,0,0,1,5,5,14.714285714285714,5,5,15.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
120.0,130.0,27,0,0,0,1,5,5,10.6,5,5,11.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
129.1,130.0,18,0,0,0,1,7,7,13.044444444444444,8,8,13.595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
130.0,130.0,39,0,0,0,1,6,0,0.0,6,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155.3,129.0,27,0,0,0,1,6,5,13.0,11,10,12.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
139.8,141.0,18,0,0,0,1,8,8,14.935,8,8,14.935,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
115.2,125.0,18,0,0,0,1,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114.9,125.0,18,0,0,0,1,7,6,13.133333333333333,8,7,12.221428571428572,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
131.9,130.0,21,0,0,1,1,6,6,12.0,6,6,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
126.0,133.0,19,1,0,1,1,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
130.2,127.0,19,1,0,0,1,6,5,11.4,6,1,10.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
120.9,116.0,24,1,0,0,1,6,0,0.0,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
126.0,133.1,29,1,0,0,1,7,5,11.9,8,5,11.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
128.2,139.0,19,1,0,1,1,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
130.0,130.0,23,1,0,0,1,6,6,12.571428571428571,6,6,12.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
120.1,125.0,19,1,1,0,1,5,5,11.2,5,4,10.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,160.0,26,1,0,0,1,6,6,12.0,6,5,10.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
134.0,148.0,18,1,0,0,1,5,0,0.0,5,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
130.8,150.0,24,1,0,0,1,7,7,11.975,8,8,13.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
135.8,141.0,19,1,0,0,1,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111.7,118.0,18,1,0,0,1,6,3,11.666666666666666,6,1,12.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
132.9,142.0,18,1,0,0,1,6,6,12.333333333333334,6,3,12.333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
115.5,120.0,18,1,1,0,1,5,3,10.333333333333334,5,3,10.857142857142858,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106.0,106.0,21,1,0,1,1,6,4,10.5,6,1,11.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120.3,121.0,19,1,1,1,1,6,6,13.666666666666666,6,6,13.333333333333334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
130.8,150.0,22,1,0,1,1,7,7,14.842857142857142,8,8,15.055555555555555,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
117.0,120.0,33,1,0,0,1,6,6,12.0,6,6,11.666666666666666,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
110.2,114.0,20,1,0,0,1,6,5,12.2,6,5,12.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155.7,140.0,35,1,0,0,1,1,0,0.0,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
180.4,160.0,24,1,1,0,1,12,6,12.166666666666666,12,10,13.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
125.5,120.0,18,1,0,0,1,5,5,12.0,5,3,11.333333333333334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.0,130.0,33,0,0,0,1,6,6,11.0,6,5,11.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
161.0,160.0,22,0,0,1,1,8,7,13.08,8,7,13.08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
100.0,120.0,25,0,0,1,1,5,4,10.5,5,5,11.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
117.6,124.0,20,1,0,0,1,6,6,10.666666666666666,6,5,11.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
128.7,143.0,23,1,0,0,1,5,4,14.0,5,5,13.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112.2,115.0,18,1,1,0,1,5,2,10.0,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
100.8,133.1,24,1,0,0,1,7,0,0.0,7,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105.0,133.1,21,0,0,0,0,6,6,14.0,6,6,13.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
100.0,133.1,26,0,0,0,1,6,2,12.0,6,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
115.5,133.1,39,0,0,0,1,6,3,12.666666666666666,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
114.0,133.1,44,0,0,0,1,8,8,11.875,6,6,12.333333333333334,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
137.0,130.0,19,1,0,0,1,5,5,14.0,5,3,13.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
124.9,135.0,18,0,0,0,1,6,6,13.666666666666666,6,6,13.333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
120.3,132.0,18,0,0,1,1,7,7,13.75,8,8,14.47777777777778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
134.3,135.0,19,0,0,0,1,5,5,14.2,5,5,13.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111.5,115.0,19,0,1,0,0,7,4,11.96,7,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128.8,130.0,21,0,0,0,1,10,8,12.875,9,5,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
110.0,133.1,20,0,0,0,1,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
113.5,130.0,36,0,0,0,1,6,0,0.0,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
160.0,133.1,43,0,0,0,1,18,18,14.63157894736842,13,13,14.23076923076923,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
117.4,123.0,19,0,0,0,1,6,0,0.0,6,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122.2,130.0,20,0,1,0,1,10,10,13.0,11,11,12.272727272727272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
118.2,122.0,19,0,0,0,1,6,0,0.0,6,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.7,113.0,20,0,0,0,1,6,4,14.2,6,4,13.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.2,111.0,20,0,0,0,1,7,6,13.266666666666666,7,5,12.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.0,133.1,20,0,0,0,1,7,6,11.666666666666666,7,3,13.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
136.1,142.0,18,0,0,0,1,6,6,13.857142857142858,6,6,15.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
115.3,123.0,18,0,0,1,1,5,3,13.0,5,3,11.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
139.8,131.0,19,0,0,0,1,5,5,13.4,5,5,12.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
157.0,158.0,18,0,0,0,1,6,6,12.666666666666666,6,6,12.571428571428571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
131.0,122.0,18,0,0,0,1,7,6,12.516666666666666,7,6,12.516666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100.0,130.0,20,0,0,0,1,7,6,11.616666666666667,7,7,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
140.4,154.0,20,0,0,1,1,6,2,10.0,6,4,10.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
113.4,120.0,20,0,0,0,1,5,3,10.333333333333334,5,3,10.666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
137.0,140.0,18,0,0,0,1,5,5,13.142857142857142,5,5,11.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
121.8,127.0,18,0,0,0,1,5,5,12.6,5,5,14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
131.0,133.1,21,0,0,0,1,6,3,11.0,6,2,11.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118.6,120.0,19,0,0,0,1,5,5,10.8,5,4,11.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
122.3,137.0,19,0,0,0,1,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127.9,131.0,19,0,0,1,1,5,5,12.8,5,5,14.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
121.3,130.0,19,0,0,0,1,6,6,14.166666666666666,6,6,12.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
117.1,122.0,19,0,0,0,1,7,5,12.1,7,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
160.0,160.0,20,0,0,0,1,6,6,14.166666666666666,6,5,13.77777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
145.3,146.0,18,0,0,1,1,6,5,12.8,6,5,13.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
122.6,131.0,18,0,0,0,1,6,6,13.0,6,6,13.666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
128.0,132.0,19,0,0,0,1,7,7,13.467142857142855,8,8,15.011111111111113,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
124.9,138.0,18,0,0,1,1,7,7,13.2375,8,7,13.742857142857144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123.7,130.0,18,0,0,0,1,6,6,12.333333333333334,6,6,13.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
120.1,126.0,19,0,0,0,1,5,5,12.4,5,5,14.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
131.7,148.0,19,0,0,0,1,7,5,14.0,7,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
133.2,130.0,20,0,0,0,1,9,9,11.666666666666666,7,7,11.714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
109.3,117.0,19,0,1,1,0,6,5,12.0,6,4,12.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113.0,120.0,20,0,0,0,1,5,4,12.2,5,4,11.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
157.9,153.0,18,0,1,1,1,6,6,14.833333333333334,6,6,14.833333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
112.1,117.0,20,0,0,1,1,7,5,13.188,8,7,12.892857142857142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
174.7,178.0,18,0,0,0,1,7,7,17.125,8,8,17.5875,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
128.8,129.0,19,0,0,0,1,7,6,12.666666666666666,7,6,12.666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
110.1,116.0,19,0,0,1,1,6,6,12.666666666666666,6,5,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
99.7,99.0,22,0,1,0,0,5,0,0.0,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
121.0,135.0,19,0,0,1,1,6,6,11.333333333333334,6,6,11.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
131.7,141.0,19,0,0,1,1,7,7,13.605,8,8,12.33125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
119.1,132.0,19,0,0,1,1,6,5,12.0,6,5,10.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
124.7,132.0,19,0,0,0,1,5,0,0.0,5,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117.2,113.0,20,0,0,0,1,6,5,11.2,6,3,11.666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
128.8,134.0,18,0,0,0,1,5,5,13.375,5,5,14.166666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
131.5,136.0,20,0,0,1,1,7,6,13.863333333333337,8,7,14.178571428571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
121.7,136.0,18,0,0,0,1,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123.4,129.0,19,0,0,0,1,5,5,12.4,5,5,13.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
124.7,138.0,18,0,0,0,1,6,3,12.333333333333334,6,5,10.833333333333334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
132.8,137.0,18,0,0,0,1,6,6,13.333333333333334,6,5,11.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
108.7,115.0,21,0,0,0,1,6,3,12.666666666666666,6,3,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
138.1,129.0,19,0,0,0,1,6,6,12.0,6,4,11.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126.5,131.0,18,0,0,1,1,5,5,10.6,5,5,11.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
127.4,133.0,18,0,0,1,1,6,6,12.25,6,6,11.857142857142858,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
123.6,125.0,20,0,0,0,1,6,4,11.0,6,6,11.833333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
122.0,120.0,24,0,0,1,1,6,5,11.0,6,5,12.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
118.2,128.0,19,0,0,0,1,6,6,13.166666666666666,6,6,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123.9,127.0,18,0,0,1,1,7,7,12.855555555555554,8,7,12.761111111111113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
125.8,134.0,18,0,0,0,1,7,7,14.91875,8,8,15.355,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
123.3,132.0,21,0,0,0,1,6,4,11.5,6,3,11.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
124.4,124.0,19,0,0,0,1,5,5,14.2,5,5,14.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
126.0,133.1,19,0,0,1,1,6,6,12.5,6,6,13.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
170.0,170.0,47,0,1,0,1,1,0,0.0,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
121.5,125.0,19,0,0,0,1,6,5,11.666666666666666,6,4,11.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
130.0,130.0,29,0,0,0,1,8,7,14.257142857142856,8,7,14.257142857142856,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
117.0,125.0,21,0,0,0,1,6,3,12.0,6,2,11.333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
130.0,130.0,28,0,0,0,1,5,4,11.25,5,4,10.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
108.0,133.1,20,0,0,0,1,7,7,12.457142857142856,8,8,13.5625,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
132.3,131.0,19,0,0,0,1,7,6,11.683333333333332,7,6,11.683333333333332,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
148.0,150.0,26,0,0,0,1,6,3,11.666666666666666,6,5,12.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
122.6,125.0,20,0,1,0,0,6,4,11.75,6,6,13.166666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123.0,131.0,18,0,0,1,1,5,3,11.666666666666666,5,4,13.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102.5,130.0,27,0,0,0,1,6,5,13.2,6,5,12.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
113.3,123.0,20,0,0,0,1,7,4,11.95,7,4,11.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133.0,141.0,18,0,0,0,1,6,5,12.4,6,5,10.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
